ORDER_ID,USER_ID,ORDER_STATUS,TOTAL_AMOUNT,ORDER_DATES,ORDER_TIME
O00000001,U009310,processing,689.66,09-09-2025,52:37.3
O00000002,U003247,completed,1666.85,15-04-2025,18:27.2
O00000003,U007252,processing,665.06,27-04-2025,37:48.0
O00000004,U008986,cancelled,689.5,04-10-2025,35:22.2
O00000005,U008537,cancelled,860.5,13-11-2024,15:18.5
O00000006,U003449,completed,2258.34,13-10-2024,02:26.8
O00000007,U006985,returned,769.71,01-05-2024,44:56.4
O00000008,U007661,completed,15.21,03-03-2024,33:22.8
O00000009,U000610,cancelled,229.02,29-10-2025,00:11.2
O00000010,U003175,returned,107.63,13-08-2024,04:24.3
O00000011,U004470,shipped,1016.61,14-08-2025,59:55.2
O00000012,U009480,cancelled,600.23,27-08-2025,57:49.0
O00000013,U003631,processing,15.87,03-01-2025,04:29.0
O00000014,U009493,shipped,520.96,15-06-2025,26:59.0
O00000015,U003336,returned,1416.93,16-07-2024,07:56.2
O00000016,U006392,processing,127.42,01-10-2025,52:15.8
O00000017,U006684,processing,227.48,05-08-2024,28:39.3
O00000018,U000792,cancelled,601.16,10-11-2024,40:57.2
O00000019,U004785,returned,135.38,26-11-2024,18:00.4
O00000020,U007957,completed,398.84,13-07-2024,57:25.8
O00000021,U002529,completed,209.51,30-07-2025,08:33.4
O00000022,U004486,shipped,1072.94,28-08-2024,17:59.1
O00000023,U007432,returned,119.02,19-05-2024,26:48.8
O00000024,U003345,completed,803.47,20-06-2025,10:48.1
O00000025,U006241,shipped,521.99,23-01-2024,00:10.4
O00000026,U000638,shipped,54.13,24-06-2025,57:30.7
O00000027,U006102,returned,495.94,31-10-2025,20:46.9
O00000028,U007489,processing,334.14,09-01-2024,28:10.6
O00000029,U006599,shipped,950.63,23-05-2025,15:57.8
O00000030,U002144,shipped,265.14,07-02-2024,08:03.4
O00000031,U007162,cancelled,4942.06,19-11-2024,31:43.8
O00000032,U007933,returned,194.49,18-03-2024,21:40.8
O00000033,U000286,processing,2028.84,29-05-2024,27:31.2
O00000034,U001759,completed,366.56,23-10-2025,39:53.5
O00000036,U009692,cancelled,858.97,14-05-2024,27:14.2
O00000037,U002635,completed,19.77,03-11-2025,18:22.6
O00000039,U005127,shipped,2803.64,09-11-2024,20:49.2
O00000040,U002158,returned,82.61,03-11-2025,23:24.1
O00000042,U007175,shipped,274.27,05-05-2025,29:18.5
O00000043,U005178,returned,351.45,05-06-2024,15:52.4
O00000045,U003734,shipped,124.94,31-03-2024,14:31.4
O00000046,U007376,processing,489.21,09-02-2024,42:31.0
O00000048,U005265,returned,834.55,29-10-2024,00:16.6
O00000049,U000067,processing,217.17,06-06-2024,24:36.7
O00000050,U008607,processing,225.99,21-09-2024,41:15.6
O00000052,U006522,processing,834.66,13-09-2024,23:40.3
O00000053,U001555,returned,593.67,18-06-2024,09:39.6
O00000055,U005524,processing,188.7,07-10-2024,26:47.6
O00000056,U003377,cancelled,229.11,13-01-2024,15:19.0
O00000058,U002279,shipped,31.39,16-09-2024,27:35.5
O00000059,U004843,processing,93.94,27-03-2024,03:32.2
O00000061,U003431,processing,1058.07,30-08-2025,24:52.6
O00000062,U009887,shipped,1592,28-09-2024,07:38.7
O00000064,U006235,cancelled,1269.08,07-09-2025,53:29.7
O00000065,U009764,returned,1313.93,10-08-2025,12:56.6
O00000067,U001740,completed,197.83,06-04-2024,52:23.9
O00000068,U005875,completed,403.18,10-02-2024,08:32.4
O00000070,U004383,cancelled,2118.73,28-08-2024,23:05.8
O00000071,U008449,completed,222.12,26-05-2025,44:41.7
O00000072,U007276,shipped,586.48,13-03-2024,49:45.3
O00000074,U001053,shipped,52.93,10-10-2024,10:23.0
O00000075,U003631,processing,420.44,14-04-2025,40:35.1
O00000077,U005127,cancelled,1836,31-12-2024,25:19.8
O00000078,U005863,shipped,186.4,31-03-2025,24:31.2
O00000080,U007964,completed,383.26,12-05-2025,07:08.6
O00000081,U000280,processing,777.99,19-04-2024,38:20.3
O00000083,U004873,processing,25.52,10-10-2024,29:56.6
O00000084,U004193,shipped,77.27,29-05-2025,07:55.9
O00000086,U004906,processing,281.05,14-04-2025,21:35.5
O00000087,U002432,cancelled,168.44,07-10-2025,05:06.6
O00000089,U004756,returned,751.36,15-06-2025,01:43.6
O00000090,U003655,cancelled,57.1,13-09-2025,02:15.9
O00000092,U001781,cancelled,253.86,05-11-2025,48:45.9
O00000093,U002932,completed,95.4,13-04-2024,02:02.5
O00000094,U008738,cancelled,14.99,02-05-2025,53:35.3
O00000096,U002173,shipped,178.96,28-07-2024,12:40.8
O00000097,U002710,processing,100.3,29-11-2024,23:36.8
