antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Automotive,Sports,0.19995026112907238,0.19000248694354638,0.0376,0.1878,0.9885,1.0,-0.0004,0.9973,-0.014375512324186707,0.10656316160903316,-0.00270561530694702,0.1927274621656117
Sports,Automotive,0.19000248694354638,0.19995026112907238,0.0376,0.1976,0.9885,1.0,-0.0004,0.9971,-0.014201470458536251,0.10656316160903316,-0.002882673363203025,0.1927274621656117
Books,Beauty,0.19124595871673714,0.2131310619248943,0.0395,0.2068,0.9701,1.0,-0.0012,0.992,-0.03669037674052924,0.10838445807770962,-0.008094147586880353,0.196146475214443
Beauty,Books,0.2131310619248943,0.19124595871673714,0.0395,0.1855,0.9701,1.0,-0.0012,0.993,-0.037672398951737775,0.10838445807770962,-0.0070664708980812015,0.196146475214443
Toys,Clothing,0.20989803531459836,0.20343198209400645,0.04,0.1908,0.9377,1.0,-0.0027,0.9843,-0.0775660585600207,0.10726182544970021,-0.015910365430513145,0.19378990486564157
Clothing,Toys,0.20343198209400645,0.20989803531459836,0.04,0.1968,0.9377,1.0,-0.0027,0.9837,-0.07698489692031767,0.10726182544970021,-0.016550420080760762,0.19378990486564157
Electronics,Groceries,0.18826162646107933,0.1701069385724944,0.0298,0.1585,0.9319,1.0,-0.0022,0.9862,-0.08260490738919021,0.09084027252081757,-0.013961392798172968,0.1669795360263274
Groceries,Electronics,0.1701069385724944,0.18826162646107933,0.0298,0.1754,0.9319,1.0,-0.0022,0.9844,-0.08094411853810345,0.09084027252081757,-0.01579699862401098,0.1669795360263274
Home & Kitchen,Automotive,0.19920417806515792,0.19995026112907238,0.0371,0.186,0.9303,1.0,-0.0028,0.9829,-0.08553239748024892,0.10233516483516482,-0.01741489597437459,0.18567043061844335
Automotive,Home & Kitchen,0.19995026112907238,0.19920417806515792,0.0371,0.1853,0.9303,1.0,-0.0028,0.983,-0.08560533223453284,0.10233516483516482,-0.017333750502147655,0.18567043061844335
