itemsets_str,support,length
Automotive,0.19995026112907238,1
Beauty,0.2131310619248943,1
Books,0.19124595871673714,1
Clothing,0.20343198209400645,1
Electronics,0.18826162646107933,1
Groceries,0.1701069385724944,1
Home & Kitchen,0.19920417806515792,1
Pet Supplies,0.20691370305894055,1
Sports,0.19000248694354638,1
Toys,0.20989803531459836,1
Automotive + Beauty,0.035811987067893555,2
Automotive + Books,0.031335488684406866,2
Automotive + Clothing,0.033573737876150214,2
Automotive + Electronics,0.032330266102959464,2
Automotive + Groceries,0.030340711265854265,2
Automotive + Home & Kitchen,0.037055458841084306,2
Automotive + Pet Supplies,0.035811987067893555,2
Automotive + Sports,0.037552847550360605,2
Automotive + Toys,0.035811987067893555,2
Beauty + Books,0.03954240238746581,2
Beauty + Clothing,0.030589405620492414,2
Beauty + Electronics,0.033076349166873915,2
Beauty + Groceries,0.027853767719472768,2
Beauty + Home & Kitchen,0.03332504352151206,2
Beauty + Pet Supplies,0.03431982094006466,2
Beauty + Sports,0.031832877393683165,2
Beauty + Toys,0.03979109674210395,2
Books + Clothing,0.03382243223078836,2
Books + Electronics,0.031832877393683165,2
Books + Groceries,0.02661029594628202,2
Books + Home & Kitchen,0.03282765481223576,2
Books + Pet Supplies,0.03407112658542651,2
Books + Sports,0.030092016911216116,2
Books + Toys,0.03531459835861726,2
Clothing + Electronics,0.03332504352151206,2
Clothing + Groceries,0.027605073364834618,2
Clothing + Home & Kitchen,0.03630937577716986,2
Clothing + Pet Supplies,0.03332504352151206,2
Clothing + Sports,0.03431982094006466,2
Clothing + Toys,0.040039791096742106,2
Electronics + Groceries,0.029843322556577966,2
Electronics + Home & Kitchen,0.03208157174832131,2
Electronics + Pet Supplies,0.03382243223078836,2
Electronics + Sports,0.031086794329768713,2
Electronics + Toys,0.03382243223078836,2
Groceries + Home & Kitchen,0.029345933847301667,2
Groceries + Pet Supplies,0.028848545138025365,2
Groceries + Sports,0.02685899030092017,2
Groceries + Toys,0.031086794329768713,2
Home & Kitchen + Pet Supplies,0.03655807013180801,2
Home & Kitchen + Sports,0.03282765481223576,2
Home & Kitchen + Toys,0.03655807013180801,2
Pet Supplies + Sports,0.033076349166873915,2
Pet Supplies + Toys,0.04028848545138025,2
Sports + Toys,0.03431982094006466,2
