PRODUCT_ID,PRODUCT_NAME,CATEGORY,BRAND,total_revenue,units_sold,order_count
P001527,Willow Result,Electronics,Willow,73275.12,36,23
P001024,Astra Pull,Electronics,Astra,65467.64,28,19
P000021,Willow Special,Electronics,Willow,62032.6,35,25
P000910,Orion Group,Electronics,Orion,60784.1,26,21
P000136,Zenith Phone,Electronics,Zenith,56419.479999999996,26,19
P001925,Willow Hospital,Automotive,Willow,56311.92,42,30
P000461,Nimbus Family,Electronics,Nimbus,54411.2,32,24
P001049,Zenith Their,Electronics,Zenith,54399.32,34,21
P000198,Orion Face,Electronics,Orion,54105.200000000004,40,29
P000555,Acme Of,Electronics,Acme,53489.18,38,27
P000731,Pulse Treat,Electronics,Pulse,53166.060000000005,43,31
P001448,Harbor Onto,Electronics,Harbor,50297.979999999996,41,25
P001143,Orion Number,Electronics,Orion,49525.61,37,26
P000303,Willow Note,Electronics,Willow,49137.6,32,24
P000418,GreenLeaf Later,Electronics,GreenLeaf,48055.94,34,23
P001278,Willow Community,Electronics,Willow,47797.600000000006,40,25
P000803,GreenLeaf Item,Electronics,GreenLeaf,47651.5,50,31
P000315,Acme Room,Electronics,Acme,47000.88,29,22
P001227,GreenLeaf System,Electronics,GreenLeaf,46645.16,37,27
P001375,Astra Owner,Electronics,Astra,45860.85,23,21
P001892,Willow Need,Electronics,Willow,45078.25,35,20
P001824,Solace Foreign,Electronics,Solace,44409.6,36,22
P000012,GreenLeaf Road,Electronics,GreenLeaf,44190.14,34,24
P000681,Acme Keep,Electronics,Acme,42705.0,25,18
P001630,Nimbus From,Electronics,Nimbus,42545.72,28,20
P000754,Acme Information,Electronics,Acme,42311.079999999994,28,24
P001229,Willow Experience,Electronics,Willow,41368.6,28,21
P001036,Pulse Security,Electronics,Pulse,40874.700000000004,38,29
P000519,Pulse Money,Electronics,Pulse,40794.630000000005,53,38
P000820,Orion Get,Automotive,Orion,39940.56,41,28
P001113,Pulse Interesting,Electronics,Pulse,39914.88,24,17
P001744,Acme Artist,Electronics,Acme,39546.1,22,15
P001248,GreenLeaf Happen,Electronics,GreenLeaf,39460.48,32,24
P001081,Astra Act,Electronics,Astra,39414.0,40,30
P001257,Nimbus Small,Automotive,Nimbus,39320.799999999996,46,31
P000354,Pulse Letter,Electronics,Pulse,38846.920000000006,28,21
P000697,Solace Ready,Electronics,Solace,38808.0,33,23
P001493,Solace Lead,Electronics,Solace,38709.84,39,27
P000642,Acme Group,Electronics,Acme,38141.88,21,16
P001872,Everest Budget,Electronics,Everest,37752.729999999996,31,23
P001717,Orion Society,Electronics,Orion,37247.52,24,18
P001183,Nimbus Word,Electronics,Nimbus,36706.4,20,16
P001900,NeoTech Guess,Electronics,NeoTech,36498.06,27,25
P000927,NeoTech Bring,Electronics,NeoTech,36185.100000000006,30,23
P001012,Acme Him,Electronics,Acme,36125.6,28,19
P000357,Astra Hundred,Electronics,Astra,35586.75,25,20
P001992,Astra Particularly,Electronics,Astra,34987.2,30,25
P001611,Willow Benefit,Electronics,Willow,33953.04,33,26
P000977,Pulse Rise,Electronics,Pulse,33939.0,30,20
P000807,Nimbus Financial,Electronics,Nimbus,33742.799999999996,28,22
P001882,Astra Tough,Electronics,Astra,33654.98,23,17
P000051,Zenith Economy,Electronics,Zenith,33600.4,40,26
P000966,Harbor Buy,Electronics,Harbor,33392.63,29,18
P001859,Orion Coach,Electronics,Orion,33386.43,33,23
P001961,NeoTech Write,Electronics,NeoTech,33246.08,32,21
P001756,Astra Book,Automotive,Astra,32906.22,34,24
P000273,Willow Seem,Automotive,Willow,32879.88,36,25
P001672,NeoTech Career,Electronics,NeoTech,32695.52,26,17
P001641,NeoTech Purpose,Automotive,NeoTech,32470.48,46,31
P000569,Zenith Control,Electronics,Zenith,32380.95,35,22
P001653,Nimbus Control,Electronics,Nimbus,32066.280000000002,27,19
P000886,Pulse Sea,Automotive,Pulse,31923.72,36,21
P001606,GreenLeaf Stage,Electronics,GreenLeaf,31840.84,29,23
P000193,Everest Nearly,Automotive,Everest,31789.2,40,24
P001504,Harbor Return,Electronics,Harbor,31363.02,26,21
P001292,Astra Measure,Automotive,Astra,31309.649999999998,41,27
P001316,Nimbus Run,Electronics,Nimbus,31245.47,29,17
P001121,Orion Occur,Electronics,Orion,31113.149999999998,31,20
P000954,Harbor Cost,Automotive,Harbor,31091.44,47,31
P001953,Orion International,Electronics,Orion,30576.0,32,24
P000358,Solace Something,Electronics,Solace,30050.1,30,20
P000174,Zenith Run,Electronics,Zenith,29782.94,31,21
P001711,Acme Here,Electronics,Acme,29751.36,32,21
P001741,Solace Sound,Electronics,Solace,29694.28,31,28
P001261,Willow World,Electronics,Willow,29648.01,21,18
P000651,Solace Option,Automotive,Solace,29636.8,32,20
P001781,Pulse Central,Electronics,Pulse,29526.0,30,18
P001462,Zenith Happy,Electronics,Zenith,29502.390000000003,31,26
P000458,Everest Black,Electronics,Everest,29463.0,30,20
P000385,Willow Mouth,Electronics,Willow,28761.06,38,25
P001987,Astra Sea,Automotive,Astra,28743.989999999998,33,24
P001173,Willow Reach,Electronics,Willow,28541.45,35,26
P001305,Nimbus Drug,Automotive,Nimbus,28518.27,33,23
P001125,Harbor Against,Electronics,Harbor,28359.36,24,18
