CustomerID,Recency,Frequency,Monetary
U000001,250.0,1,1392.89
U000002,219.0,4,1808.15
U000003,-294.0,3,1153.01
U000004,34.0,3,7620.84
U000005,-19.0,1,12.66
U000006,279.0,6,9952.28
U000008,1.0,2,1520.91
U000009,-65.0,1,1297.61
U000010,-120.0,5,1631.68
U000011,104.0,2,1050.88
U000012,-125.0,2,635.59
U000013,144.0,1,193.29
U000014,-84.0,1,223.9
U000016,15.0,1,954.86
U000017,-26.0,1,479.8
U000018,-305.0,1,27.08
U000019,-216.0,2,341.53
U000020,-117.0,3,521.96
U000021,-299.0,4,390.65
U000022,96.0,3,2098.03
U000023,43.0,5,6134.9
U000024,181.0,1,148.16
U000025,93.0,2,858.92
U000026,279.0,2,511.53
U000027,100.0,1,1125.55
U000029,-104.0,1,247.1
U000030,6.0,1,584.32
U000031,250.0,2,1235.96
U000032,-210.0,4,4739.04
U000034,77.0,3,751.77
U000035,2.0,5,4178.87
U000036,-243.0,4,4910.55
U000037,356.0,2,895.93
U000038,-22.0,4,4346.73
U000039,-310.0,1,133.71
U000040,-106.0,1,1098.99
U000041,198.0,1,881.41
U000042,214.0,5,1216.75
U000043,-293.0,2,733.69
U000044,278.0,4,4098.35
U000046,-27.0,3,1716.68
U000047,136.0,2,2936.69
U000048,-58.0,3,1989.77
U000049,-244.0,1,1821.99
U000050,359.0,1,1953.62
U000051,-291.0,2,774.78
U000052,-298.0,1,566.53
U000053,-74.0,3,659.86
U000055,-179.0,2,3151.65
U000056,131.0,4,840.08
U000057,-304.0,1,369.87
U000059,-203.0,2,1608.03
U000060,-29.0,2,1192.37
U000061,-256.0,1,378.6
U000062,61.0,1,189.79
U000063,-175.0,1,483.6
U000064,-72.0,1,704.05
U000065,141.0,1,37.9
U000066,-259.0,2,144.57
U000067,-238.0,2,470.63
U000068,7.0,2,423.18
U000069,-222.0,1,688.64
U000070,32.0,3,4528.58
U000071,-126.0,2,346.91
U000072,15.0,1,247.88
U000073,-266.0,1,323.24
U000074,-13.0,1,2571.53
U000076,23.0,1,82.64
U000077,33.0,2,304.5
U000078,-304.0,4,2131.08
U000079,-181.0,4,542.65
U000080,80.0,1,276.29
U000081,160.0,2,766.73
U000082,-59.0,4,3462.52
U000083,125.0,4,3190.13
U000084,-231.0,4,3012.96
U000085,293.0,1,3003.15
U000086,-190.0,1,30.81
U000087,-253.0,2,578.89
U000088,343.0,7,2405.88
U000089,102.0,2,304.79
U000090,-266.0,2,368.3
U000091,233.0,1,457.74
U000092,-316.0,2,543.08
U000093,296.0,2,269.51
U000094,269.0,1,302.06
U000095,116.0,2,76.41
U000096,310.0,3,1258.41
U000097,234.0,3,3956.51
U000098,284.0,2,739.95
U000099,157.0,1,22.25
U000101,-67.0,1,307.82
U000102,165.0,2,336.63
U000103,2.0,2,475.43
U000104,-196.0,2,1388.81
U000106,347.0,2,594.75
U000107,279.0,4,900.8
U000108,304.0,1,15.29
U000111,186.0,3,2106.75
U000112,-11.0,1,234.41
U000114,46.0,2,1278.09
U000115,-54.0,2,266.44
U000116,301.0,2,1445.6
U000117,106.0,3,2378.43
U000118,193.0,2,3541.54
U000119,218.0,6,6665.53
U000120,218.0,3,1164.73
U000121,31.0,5,3613.94
U000123,333.0,1,766.52
U000124,60.0,1,248.41
U000125,-147.0,2,1023.19
U000126,210.0,2,464.61
U000127,-241.0,6,5147.18
U000128,259.0,1,150.32
U000130,280.0,2,266.45
U000131,128.0,4,1138.86
U000132,-57.0,1,222.45
U000134,-173.0,2,1234.26
U000136,247.0,3,4246.74
U000137,-18.0,2,1622.9
U000139,-175.0,3,1481.58
U000140,57.0,1,283.47
U000141,-271.0,2,239.78
U000142,336.0,2,1569.41
U000143,-67.0,1,218.7
U000144,-266.0,1,892.92
U000145,-173.0,2,1779.46
U000146,136.0,3,3263.04
U000147,-156.0,2,798.85
U000149,62.0,2,344.46
U000151,286.0,2,461.2
U000152,-196.0,1,4.87
U000153,-290.0,3,1908.06
U000154,-230.0,2,1289.05
U000155,150.0,1,4047.79
U000156,-22.0,1,41.57
U000157,249.0,6,5666.25
U000158,-49.0,2,1680.7
U000159,156.0,7,1771.7
U000160,-86.0,4,2364.53
U000161,-243.0,4,1934.21
U000162,-74.0,1,62.52
U000163,-260.0,2,1383.88
U000164,-153.0,1,179.19
U000165,108.0,2,189.24
U000166,309.0,3,389.84
U000167,228.0,1,1324.11
U000168,127.0,6,2113.44
U000169,-68.0,2,1475.35
U000170,-80.0,3,713.69
U000171,124.0,2,1688.8
U000172,-240.0,4,3196.81
U000173,361.0,1,1352.63
U000174,-161.0,2,996.11
U000175,-22.0,4,3955.13
U000176,13.0,1,172.07
U000178,44.0,2,1702.03
U000179,15.0,1,279.52
U000180,306.0,6,3617.44
U000181,-285.0,2,772.43
U000182,-239.0,2,877.62
U000183,-235.0,4,6193.0
U000185,327.0,2,2060.9
U000186,-216.0,1,537.2
U000187,-59.0,1,2518.61
U000188,-146.0,5,5359.41
U000189,101.0,2,143.82
U000190,-22.0,2,534.27
U000191,-112.0,1,117.09
U000192,-301.0,4,1445.8
U000193,339.0,2,768.83
U000195,4.0,1,97.57
U000196,312.0,3,1045.45
U000197,346.0,2,1039.92
U000198,-208.0,1,432.22
U000199,210.0,2,638.78
U000200,176.0,1,71.29
U000201,250.0,3,3444.54
U000202,-179.0,4,1182.77
