CustomerID,OrderID,OrderDate,Amount
U009310,O00000001,09-09-2025,689.66
U003247,O00000002,15-04-2025,1666.85
U007252,O00000003,27-04-2025,665.06
U008986,O00000004,04-10-2025,689.5
U008537,O00000005,13-11-2024,860.5
U003449,O00000006,13-10-2024,2258.34
U006985,O00000007,01-05-2024,769.71
U007661,O00000008,03-03-2024,15.21
U000610,O00000009,29-10-2025,229.02
U003175,O00000010,13-08-2024,107.63
U004470,O00000011,14-08-2025,1016.61
U009480,O00000012,27-08-2025,600.23
U003631,O00000013,03-01-2025,15.87
U009493,O00000014,15-06-2025,520.96
U003336,O00000015,16-07-2024,1416.93
U006392,O00000016,01-10-2025,127.42
U006684,O00000017,05-08-2024,227.48
U000792,O00000018,10-11-2024,601.16
U004785,O00000019,26-11-2024,135.38
U007957,O00000020,13-07-2024,398.84
U002529,O00000021,30-07-2025,209.51
U004486,O00000022,28-08-2024,1072.94
U007432,O00000023,19-05-2024,119.02
U003345,O00000024,20-06-2025,803.47
U006241,O00000025,23-01-2024,521.99
U000638,O00000026,24-06-2025,54.13
U006102,O00000027,31-10-2025,495.94
U007489,O00000028,09-01-2024,334.14
U006599,O00000029,23-05-2025,950.63
U002144,O00000030,07-02-2024,265.14
U007162,O00000031,19-11-2024,4942.06
U007933,O00000032,18-03-2024,194.49
U000286,O00000033,29-05-2024,2028.84
U001759,O00000034,23-10-2025,366.56
U009692,O00000036,14-05-2024,858.97
U002635,O00000037,03-11-2025,19.77
U005127,O00000039,09-11-2024,2803.64
U002158,O00000040,03-11-2025,82.61
U007175,O00000042,05-05-2025,274.27
U005178,O00000043,05-06-2024,351.45
U003734,O00000045,31-03-2024,124.94
U007376,O00000046,09-02-2024,489.21
U005265,O00000048,29-10-2024,834.55
U000067,O00000049,06-06-2024,217.17
U008607,O00000050,21-09-2024,225.99
U006522,O00000052,13-09-2024,834.66
U001555,O00000053,18-06-2024,593.67
U005524,O00000055,07-10-2024,188.7
U003377,O00000056,13-01-2024,229.11
U002279,O00000058,16-09-2024,31.39
U004843,O00000059,27-03-2024,93.94
U003431,O00000061,30-08-2025,1058.07
U009887,O00000062,28-09-2024,1592.0
U006235,O00000064,07-09-2025,1269.08
U009764,O00000065,10-08-2025,1313.93
