user_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
U000001,568,1,1392.8899999999999,1,1,4,114,Lost
U000002,325,4,1808.15,2,5,4,254,At Risk
U000003,24,3,1153.01,5,4,3,543,Loyal
U000004,65,3,7620.839999999999,5,4,5,545,Champions
U000005,299,1,12.66,2,1,1,211,At Risk
U000006,101,6,9952.28,4,5,5,455,Champions
U000008,286,2,1520.91,2,2,4,224,At Risk
U000009,253,1,1297.6100000000001,2,1,4,214,At Risk
U000010,116,5,1631.68,4,5,4,454,Champions
U000011,422,2,1050.88,1,2,3,123,Lost
U000012,193,2,635.59,3,2,2,322,Potential
U000013,462,1,193.29,1,1,1,111,Lost
U000014,234,1,223.9,3,1,1,311,Potential
U000016,333,1,954.86,2,1,3,213,At Risk
U000017,292,1,479.8,2,1,2,212,At Risk
U000018,13,1,27.08,5,1,1,511,Potential
U000019,102,2,341.53,4,2,2,422,Potential
U000020,91,3,521.96,4,4,2,442,Loyal
U000021,19,4,390.65,5,5,2,552,Loyal
U000022,261,3,2098.03,2,4,4,244,At Risk
U000023,29,5,6134.900000000001,5,5,5,555,Champions
U000024,499,1,148.16,1,1,1,111,Lost
U000025,181,2,858.92,3,2,3,323,Potential
U000026,516,2,511.53000000000003,1,2,2,122,Lost
U000027,418,1,1125.55,1,1,3,113,Lost
U000029,214,1,247.1,3,1,1,311,Potential
U000030,324,1,584.32,2,1,2,212,At Risk
U000031,568,2,1235.96,1,2,3,123,Lost
U000032,31,4,4739.04,5,5,5,555,Champions
U000034,135,3,751.77,4,4,3,443,Loyal
U000035,249,5,4178.87,3,5,5,355,Loyal
U000036,75,4,4910.55,4,5,5,455,Champions
U000037,159,2,895.9300000000001,3,2,3,323,Potential
U000038,252,4,4346.7300000000005,3,5,5,355,Loyal
U000039,8,1,133.71,5,1,1,511,Potential
U000040,212,1,1098.99,3,1,3,313,Potential
U000041,516,1,881.41,1,1,3,113,Lost
U000042,222,5,1216.75,3,5,3,353,Loyal
U000043,25,2,733.6899999999999,5,2,3,523,Potential
U000044,20,4,4098.349999999999,5,5,5,555,Champions
U000046,214,3,1716.68,3,4,4,344,Loyal
U000047,395,2,2936.69,2,2,5,225,At Risk
U000048,260,3,1989.77,2,4,4,244,At Risk
U000049,74,1,1821.99,4,1,4,414,Potential
U000050,677,1,1953.62,1,1,4,114,Lost
U000051,27,2,774.78,5,2,3,523,Potential
U000052,20,1,566.53,5,1,2,512,Potential
U000053,101,3,659.86,4,4,2,442,Loyal
U000055,139,2,3151.65,4,2,5,425,Potential
U000056,408,4,840.0799999999999,2,5,3,253,At Risk
U000057,14,1,369.87,5,1,2,512,Potential
U000059,115,2,1608.0300000000002,4,2,4,424,Potential
U000060,205,2,1192.37,3,2,3,323,Potential
U000061,62,1,378.6,5,1,2,512,Potential
U000062,379,1,189.79,2,1,1,211,At Risk
U000063,143,1,483.59999999999997,4,1,2,412,Potential
U000064,246,1,704.05,3,1,3,313,Potential
U000065,459,1,37.9,1,1,1,111,Lost
U000066,59,2,144.57,5,2,1,521,Potential
U000067,80,2,470.63,4,2,2,422,Potential
U000068,98,2,423.17999999999995,4,2,2,422,Potential
U000069,96,1,688.64,4,1,3,413,Potential
U000070,298,3,4528.58,2,4,5,245,At Risk
U000071,192,2,346.90999999999997,3,2,2,322,Potential
U000072,333,1,247.88,2,1,1,211,At Risk
U000073,52,1,323.24,5,1,2,512,Potential
U000074,304,1,2571.53,2,1,5,215,At Risk
U000076,341,1,82.64,2,1,1,211,At Risk
U000077,351,2,304.5,2,2,2,222,At Risk
U000078,14,4,2131.08,5,5,4,554,Champions
U000079,49,4,542.65,5,5,2,552,Loyal
U000080,398,1,276.29,2,1,1,211,At Risk
U000081,478,2,766.73,1,2,3,123,Lost
U000082,142,4,3462.52,4,5,5,455,Champions
U000083,79,4,3190.13,4,5,5,455,Champions
